brand_raw,raw_text,url,size_hint_inch,price_hint_eur,platform,country,scraped_at
Hisense,hisense a85q 55 oled 4k smart ai tv with freely 55a85qtuk 10289262.html,https://www.currys.co.uk/products/hisense-a85q-55-oled-4k-smart-ai-tv-with-freely-55a85qtuk-10289262.html,55.0,899.0,Currys,GB,2026-06-22T10:23:58Z
Sharp,sharp 4tc43hj4725k 43 smart 4k ultra hd hdr led tv 10283834.html,https://www.currys.co.uk/products/sharp-4tc43hj4725k-43-smart-4k-ultra-hd-hdr-led-tv-10283834.html,43.0,189.99,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense a5q 32 qled full hd hdr smart tv with freely 32a5qtuk 10283872.html,https://www.currys.co.uk/products/hisense-a5q-32-qled-full-hd-hdr-smart-tv-with-freely-32a5qtuk-10283872.html,32.0,199.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense e7q pro 43 qled 4k hdr smart tv with freely 43e7qtuk pro 10288575.html,https://www.currys.co.uk/products/hisense-e7q-pro-43-qled-4k-hdr-smart-tv-with-freely-43e7qtuk-pro-10288575.html,43.0,345.0,Currys,GB,2026-06-22T10:23:58Z
Philips,philips ambilight 55pus850005 55 smart 4k ultra hd hdr qled tv 10283445.html,https://www.currys.co.uk/products/philips-ambilight-55pus850005-55-smart-4k-ultra-hd-hdr-qled-tv-10283445.html,55.0,389.0,Currys,GB,2026-06-22T10:23:58Z
Sharp,sharp 4tc50hj4725k 50 smart 4k ultra hd hdr led tv 10284784.html,https://www.currys.co.uk/products/sharp-4tc50hj4725k-50-smart-4k-ultra-hd-hdr-led-tv-10284784.html,50.0,239.99,Currys,GB,2026-06-22T10:23:58Z
Logik,logik l40rfe25 roku 40 smart full hd hdr led tv 10274387.html,https://www.currys.co.uk/products/logik-l40rfe25-roku-40-smart-full-hd-hdr-led-tv-10274387.html,40.0,159.99,Currys,GB,2026-06-22T10:23:58Z
LG,lg b5 65 oled ai 4k hdr smart tv 2025 oled65b56la 10281772.html,https://www.currys.co.uk/products/lg-b5-65-oled-ai-4k-hdr-smart-tv-2025-oled65b56la-10281772.html,65.0,1099.0,Currys,GB,2026-06-22T10:23:58Z
Toshiba,toshiba fire tv 65uf3f53db 65 smart 4k ultra hd hdr led tv with amazon alexa 10272007.html,https://www.currys.co.uk/products/toshiba-fire-tv-65uf3f53db-65-smart-4k-ultra-hd-hdr-led-tv-with-amazon-alexa-10272007.html,65.0,399.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense a4q 40 led full hd hdr smart tv with freely 40a4qtuk 10286230.html,https://www.currys.co.uk/products/hisense-a4q-40-led-full-hd-hdr-smart-tv-with-freely-40a4qtuk-10286230.html,40.0,189.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense a5q 40 qled full hd hdr smart tv with freely 40a5qtuk 10283624.html,https://www.currys.co.uk/products/hisense-a5q-40-qled-full-hd-hdr-smart-tv-with-freely-40a5qtuk-10283624.html,40.0,249.0,Currys,GB,2026-06-22T10:23:58Z
Philips,philips ambilight 50pus850005 50 smart 4k ultra hd hdr qled tv 10283476.html,https://www.currys.co.uk/products/philips-ambilight-50pus850005-50-smart-4k-ultra-hd-hdr-qled-tv-10283476.html,50.0,345.0,Currys,GB,2026-06-22T10:23:58Z
Sharp,sharp 4tc55hj4725k 55 smart 4k ultra hd hdr led tv 10284440.html,https://www.currys.co.uk/products/sharp-4tc55hj4725k-55-smart-4k-ultra-hd-hdr-led-tv-10284440.html,55.0,289.99,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 8a 65 oled 4k hdr ai smart tv k65xr8a1b 10291767.html,https://www.currys.co.uk/products/sony-bravia-8a-65-oled-4k-hdr-ai-smart-tv-k65xr8a1b-10291767.html,65.0,1499.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung ue98du9000uxxu 98 smart 4k ultra hd hdr led tv with bixby and amazon alexa 10265034.html,https://www.currys.co.uk/products/samsung-ue98du9000uxxu-98-smart-4k-ultra-hd-hdr-led-tv-with-bixby-and-amazon-alexa-10265034.html,98.0,1299.0,Currys,GB,2026-06-22T10:23:58Z
