brand,model,country,platform,url,active
Hisense,55E7DS,IT,Amazon,https://www.amazon.it/dp/B0GM1TVSMG,true
Hisense,43E7DS,IT,Amazon,https://www.amazon.it/dp/B0GM1NJDDK,true
Hisense,32E5ST,IT,Amazon,https://www.amazon.it/dp/B0GM1T3HF5,true
Hisense,40E5ST,IT,Amazon,https://www.amazon.it/dp/B0GM1QR1GT,true
Hisense,32E41QT,IT,Amazon,https://www.amazon.it/dp/B0F1WMZSQ6,true
Hisense,50E7Q,IT,Amazon,https://www.amazon.it/dp/B0F1VZSZNY,true
Hisense,43A72Q,IT,Amazon,https://www.amazon.it/dp/B0F1WB8QYT,true
Hisense,55E8S,IT,Amazon,https://www.amazon.it/dp/B0GQDXNH3L,true
Hisense,65E8Q,IT,Amazon,https://www.amazon.it/dp/B0F1W5MSBZ,true
Hisense,32S5Q,IT,Amazon,https://www.amazon.it/dp/B0FSLMYL4W,true
Hisense,50E7Q,IT,Amazon,https://www.amazon.it/dp/B0FFH8CWBK,true
Hisense,55U72Q,IT,Amazon,https://www.amazon.it/dp/B0F1W5SZKX,true
Hisense,55E7S,IT,Amazon,https://www.amazon.it/dp/B0GR7DTKP8,true
Hisense,40A59S,IT,Amazon,https://www.amazon.it/dp/B0H1N6FDBV,true
Hisense,40E53QT,IT,Amazon,https://www.amazon.it/dp/B0F1W8TN45,true
Hisense,55U7SPRO,IT,Amazon,https://www.amazon.it/dp/B0GR6VM5TC,true
Hisense,43A7S,IT,Amazon,https://www.amazon.it/dp/B0GSBG2DXL,true
Hisense,55U7SE,IT,Amazon,https://www.amazon.it/dp/B0GKPVQ86Z,true
Hisense,65UR9S,IT,Amazon,https://www.amazon.it/dp/B0GR6VCJL6,true
Hisense,85E7Q,IT,Amazon,https://www.amazon.it/dp/B0F1N6RKFQ,true
Hisense,43A6S,IT,Amazon,https://www.amazon.it/dp/B0H83CB2LF,true
Hisense,55UR8S,IT,Amazon,https://www.amazon.it/dp/B0GX9JNFGJ,true
Hisense,50A72Q,IT,Amazon,https://www.amazon.it/dp/B0FQC3PTR7,true
Hisense,55U8Q,IT,Amazon,https://www.amazon.it/dp/B0F1WHZW4G,true
Hisense,43A7S,IT,Amazon,https://www.amazon.it/dp/B0GR6X2YNN,true
Hisense,43A6Q,IT,Amazon,https://www.amazon.it/dp/B0F4DF55P6,true
TCL,55T6C,IT,Amazon,https://www.amazon.it/dp/B0DW9698LP,true
Hisense,55A6Q,IT,Amazon,https://www.amazon.it/dp/B0F4D9MLMQ,true
Hisense,43A72Q,IT,Amazon,https://www.amazon.it/dp/B0FJMSFYQY,true
Hisense,50Q7S,IT,Amazon,https://www.amazon.it/dp/B0H83625QD,true
Hisense,100U7Q,IT,Amazon,https://www.amazon.it/dp/B0F1YST2D4,true
Hisense,55Q8S,IT,Amazon,https://www.amazon.it/dp/B0H835F766,true
TCL,65T6C,IT,Amazon,https://www.amazon.it/dp/B0F8QDCBCM,true
Hisense,65E7Q,IT,Amazon,https://www.amazon.it/dp/B0FJMR5XCG,true
Hisense,85E7S,IT,Amazon,https://www.amazon.it/dp/B0H1MY689X,true
Hisense,65S7S,IT,Amazon,https://www.amazon.it/dp/B0GNF3KJGW,true
Hisense,50A6Q,IT,Amazon,https://www.amazon.it/dp/B0F4D9YNHR,true
Hisense,65A8DQ,IT,Amazon,https://www.amazon.it/dp/B0FQ68SMCB,true
Hisense,100U8Q,IT,Amazon,https://www.amazon.it/dp/B0FFSRNCBF,true
Sony,75BRAVIA5,IT,Amazon,https://www.amazon.it/dp/B0F4L4JSYM,true
TCL,55P7K,IT,Amazon,https://www.amazon.it/dp/B0F99Z7M9M,true
Sony,55BRAVIA8,IT,Amazon,https://www.amazon.it/dp/B0D1VTR2M5,true
Sony,65BRAVIA7II,IT,Amazon,https://www.amazon.it/dp/B0H2JSJ8QM,true
Samsung,27F6000,IT,Amazon,https://www.amazon.it/dp/B0F7LLQRKX,true
Sony,43BRAVIA3,IT,Amazon,https://www.amazon.it/dp/B0FPG6BWZ1,true
Samsung,43U7000F,IT,Amazon,https://www.amazon.it/dp/B0F4T2KFZM,true
Samsung,55QN70F,IT,Amazon,https://www.amazon.it/dp/B0F4SPK1HV,true
LG,65NANO80A6B,IT,Amazon,https://www.amazon.it/dp/B0F5HYWHGJ,true
Samsung,65Q7F,IT,Amazon,https://www.amazon.it/dp/B0F4T23RSZ,true
Samsung,65S90F,IT,Amazon,https://www.amazon.it/dp/B0GV48BKN8,true
Samsung,50M70H,IT,Amazon,https://www.amazon.it/dp/B0GX1TF3QW,true
LG,50UA75,IT,Amazon,https://www.amazon.it/dp/B0F6VCCB6V,true
Samsung,55LS03HW,IT,Amazon,https://www.amazon.it/dp/B0GWDYT97X,true
LG,85NU8E0B,IT,Amazon,https://www.amazon.it/dp/B0GWN2QK2Q,true
LG,77C6,IT,Amazon,https://www.amazon.it/dp/B0GWMVM78J,true
Hisense,100E7QPRO,IT,Amazon,https://www.amazon.it/dp/B0F1N92VWF,true
Samsung,55U7000H,IT,Amazon,https://www.amazon.it/dp/B0GZL4MN1V,true
TCL,50C7K,IT,Amazon,https://www.amazon.it/dp/B0F38D74ZD,true
Samsung,42S90H,IT,Amazon,https://www.amazon.it/dp/B0GWMXTZKK,true
Samsung,65S85H,IT,Amazon,https://www.amazon.it/dp/B0GXWL18WS,true
Samsung,55R85H,IT,Amazon,https://www.amazon.it/dp/B0GXWJM7QQ,true
Samsung,50Q7F,IT,Amazon,https://www.amazon.it/dp/B0FLYNMKQ7,true
Samsung,24F6000,IT,Amazon,https://www.amazon.it/dp/B0F7LM4MHT,true
Samsung,55U7000F,IT,Amazon,https://www.amazon.it/dp/B0F4TCSYQK,true
Samsung,42S90F,IT,Amazon,https://www.amazon.it/dp/B0FL7Z7PLW,true
Samsung,65U8005F,IT,Amazon,https://www.amazon.it/dp/B0F4SYKX5G,true
Samsung,75Q7F,IT,Amazon,https://www.amazon.it/dp/B0F4T3GMCN,true
Samsung,43Q7FA,IT,Amazon,https://www.amazon.it/dp/B0FM3ZTMKS,true
Samsung,43M70H,IT,Amazon,https://www.amazon.it/dp/B0GX1PLM4D,true
Samsung,43U7000F,IT,Amazon,https://www.amazon.it/dp/B0FM9G9LSY,true
Samsung,65M80H,IT,Amazon,https://www.amazon.it/dp/B0GX1QQ7S6,true
Samsung,75U8090H,IT,Amazon,https://www.amazon.it/dp/B0GZL46DJ2,true
LG,50QNED85A,IT,Amazon,https://www.amazon.it/dp/B0F5HWKDVL,true
